policy_no_f,prod_id,face_amt,apc_id_sas_f,insd_id_sas_f,sex,age,annual_income_amt
932303530333538,PK2,0,A2302E32363633393137,A2302E32363633393137,2,63,1800000
930373737363935,J5,30,H2302E34333536353433,H2302E34333536353433,2,53,600000
335363231393133,FB,30,R2302E37353232343232,R2302E37353232343232,2,28,700000
930353137323035,E5,1000,S2302E32383238343431,B1302E30383639343031,1,14,2000000
739303738373438,JE,100,E2302E35343339393236,S2302E31363335373731,2,27,250000
931303035323136,FV,1000,H2302E36333737323433,H2302E36393231313631,2,0,400000
739313834333039,PJ,10,L1302E36323137323539,L1302E36323137323539,1,45,1000000
732333830393337,MS,10,C1302E36383931383832,C1302E36383931383832,1,19,700000
931373332353331,DH,5,P2302E39353530363234,A2302E32373330313434,2,25,1710000
931313536373232,FV,1000,V1302E37343130303832,TB302E33363030353531,2,51,900000
338303137343733,FL,50,F2302E39373737393439,F2302E39373737393439,2,33,750000
931343938353338,EV2,7,X2302E38353137313834,X2302E38353137313834,2,35,420000
732323738333934,JB,100,E2302E38323534303931,H1302E35353830343532,1,4,2000000
930393733353538,ZK9,10,R2302E35323631393435,R1302E37343439373835,1,38,500000
737303430343632,HK1,60,S2302E38303430353031,E1302E36353335383037,1,40,750000
931363234323138,KM,5,U1302E35343838393433,U1302E35343838393433,1,55,500000
930333438343435,TW2,20,G2302E38373233313137,G2302E38373233313137,2,37,1200000
930343837393431,E5,1000,M1302E35393730353834,B2302E37313535353435,2,39,1500000
931393339383730,KA4,20,B2302E34343239393037,B2302E34343239393037,2,67,500000
930323639393335,YI,500,S2302E33373433323938,S2302E33373433323938,2,28,800000
930363933363431,G4,20,A2302E38373137313936,A2302E38373137313936,2,42,1200000
930353936303832,E6,1000,B2302E38393438313435,A2302E36343638363137,2,0,360000
932313035373134,DT1,1000,M1302E34383938363031,M1302E34383938363031,1,19,NULL
930343832393436,E6,1000,X1302E36353837323231,J1302E36303938393534,1,20,1500000
931373430303232,L31,1,E1302E37323038353533,E1302E37323038353533,1,33,1000000
931363639373237,XG,15,Y2302E36323132363536,Y2302E36323132363536,2,54,550000
732333237393633,LC,1000,M1302E37323937393031,M1302E37323937393031,1,47,250000
931383836383534,IG3,30000,S2302E37363431353733,S2302E37363431353733,2,43,500000
931313135373433,IU,6,F1302E38303830343631,F1302E38303830343631,1,31,1000000
932303639383738,TLA,0,N2302E36363139313736,N2302E36363139313736,2,54,1000000
732323638383439,KS,10,F2302E33303539353533,G1302E38323636303239,1,8,2000000
930353733353338,YT1,1,T2302E30353138333737,T2302E30353138333737,2,48,300000
